,price_per_sqft,city,county,state,streetAddress,bedrooms,bathrooms,price,livingAreaValue,lotSize_sqft,yearBuilt,zipcode,rentZestimate,zestimate,propertyTaxRate,neighborhoodRegion_name,agentName,agent_businessName,architecture_style,year_built,agency_compensation%
372,1103.0,San Francisco,San Francisco County,CA,403 Main St APT 620N,2.0,2.0,1195000,1083.0,29037.0,1997,94105,4999,1157700,0.67,Rincon Hill,Hung K. Kwok,MaxReal,Art Deco,1997,2.5
373,870.0,Santa Clara,Santa Clara County,CA,4033 Crandall Cir,3.0,3.0,1648000,1894.0,2374.0,2004,95054,,,0.77,,Melissa Elaina,Real Estate eBroker,Contemporary,2004,2.5
374,786.0,San Jose,Santa Clara County,CA,4050 Cadwallader Ave,5.0,3.0,1998500,2542.0,8049.0,1978,95121,5263,1784200,0.77,Evergreen,Aida Soriano,Coldwell Banker Realty,Contemporary,1978,
375,917.0,San Francisco,San Francisco County,CA,4055-4057 Cesar Chavez St,4.0,4.0,2299000,2506.0,2278.0,1910,94131,9879,2411867,0.67,Noe Valley,Craig Ackerman,Proof Real Estate,,1910,2.5
376,1346.0,Fremont,Alameda County,CA,40689 Canyon Heights Dr,4.0,2.0,2299000,1708.0,6969.0,1975,94539,5801,2229500,0.81,Kimber-Gomes,Estela Riener,Coldwell Banker Realty,Ranch,1975,3
377,671.0,San Jose,Santa Clara County,CA,4088 Victoria Park Dr,4.0,2.0,1398000,2084.0,6128.0,1970,95136,4200,1429471,0.77,Blossom Valley,Connie Miller,Compass,Ranch,1970,
378,1038.0,San Jose,Santa Clara County,CA,409 Mayellen Ave,3.0,2.0,1275000,1228.0,6769.0,1920,95126,3949,1298376,0.77,Rose Garden,Lana Wong Doerpmund,Christie's International Real Estate Sereno,,1920,
379,781.0,San Jose,Santa Clara County,CA,411 Nerdy Ave,4.0,2.0,949000,1215.0,5048.0,1958,95111,3714,959700,0.77,Edenvale - Seven Trees,Manuel Jaimes,Coldwell Banker Realty,,1958,
380,1175.0,Fremont,Alameda County,CA,4173 Blewett St,3.0,2.0,1349000,1148.0,5998.0,1958,94538,3599,1349001,0.81,South Sundale,Sam Araj,Compass,,1958,
381,753.0,San Jose,Santa Clara County,CA,418 Royale Park Dr,4.0,3.0,1599000,2124.0,6050.0,1970,95136,4250,1631412,0.77,Blossom Valley,Sheila Gennaro,Compass,"Tract,Traditional",1970,
382,940.0,Fremont,Alameda County,CA,4182 Isola Dr,4.0,2.0,1888000,2008.0,11761.0,1978,94555,5054,1848097,0.81,Lakes and Birds,Pamela Tran,Redfin,Contemporary,1978,2
383,920.0,San Francisco,San Francisco County,CA,42 Wilder St,3.0,2.0,2195000,2386.0,2375.0,1938,94131,,,0.67,Glen Park,Cece A. Doricko,Compass,"Mediterranean,Spanish,Traditional",1938,2.5
384,966.0,San Francisco,San Francisco County,CA,420 Noe St #1A,2.0,1.0,879000,910.0,3750.0,1900,94114,,,0.67,Castro,Sean Jeremy Weinstock,Vanguard Properties,,1900,2.5
